DCounts,Refs,R
675.00,0.895,2
674.00,0.895,2
675.00,0.895,2
673.00,0.895,2
672.00,0.895,2
675.00,0.895,2
672.00,0.895,2
672.00,0.895,2
670.00,0.895,2
664.00,0.895,2
670.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
671.00,0.895,2
671.00,0.895,2
671.00,0.895,2
673.00,0.895,2
671.00,0.895,2
671.00,0.895,2
671.00,0.895,2
672.00,0.895,2
674.00,0.895,2
673.00,0.895,2
672.00,0.895,2
672.00,0.895,2
671.00,0.895,2
675.00,0.895,2
665.00,0.895,2
669.00,0.895,2
672.00,0.895,2
672.00,0.895,2
671.00,0.895,2
670.00,0.895,2
669.00,0.895,2
669.00,0.895,2
675.00,0.895,2
669.00,0.895,2
